gene	locus_tag	start	end	length_bp
dnaA	BSU_00010	410	1750	1341
dnaN	BSU_00020	1939	3075	1137
rlbA	BSU_00030	3206	3421	216
recF	BSU_00040	3437	4549	1113
remB	BSU_00050	4567	4812	246
gyrB	BSU_00060	4867	6783	1917
gyrA	BSU_00070	6994	9459	2466
yaaC	BSU_00080	14847	15794	948
guaB	BSU_00090	15915	17381	1467
dacA	BSU_00100	17534	18865	1332
pdxS	BSU_00110	19062	19946	885
pdxT	BSU_00120	19968	20558	591
serS	BSU_00130	20880	22157	1278
dck	BSU_00140	22496	23149	654
dgk	BSU_00150	23146	23769	624
sleL	BSU_00160	23868	25151	1284
yaaI	BSU_00170	25221	25766	546
tadA	BSU_00180	25852	26337	486
dnaX	BSU_00190	26814	28505	1692
ebfC	BSU_00200	28529	28852	324
recR	BSU_00210	28867	29463	597
yaaL	BSU_00220	29481	29705	225
bofA	BSU_00230	29772	30035	264
csfB	BSU_00240	35531	35725	195
xpaC	BSU_00250	35845	36459	615
yaaN	BSU_00260	36478	37638	1161
yaaO	BSU_00270	37720	39162	1443
tmk	BSU_00280	39159	39797	639
darA	BSU_00290	39871	40200	330
yaaR	BSU_00300	40213	40653	441
holB	BSU_00310	40665	41654	990
ricT	BSU_00320	41657	42484	828
dnaH	BSU_00330	42499	42858	360
trmNF	BSU_00340	42917	43660	744
yazA	BSU_00350	43647	43946	300
rsmI	BSU_00360	43921	44799	879
abrB	BSU_00370	44848	45138	291
metS	BSU_00380	45633	47627	1995
dayD	BSU_00390	47706	48473	768
yabE	BSU_00400	48629	49942	1314
rnmV	BSU_00410	50087	50647	561
rsmA	BSU_00420	50640	51518	879
prtG	BSU_00430	51680	52552	873
veg	BSU_00440	52763	53023	261
sspF	BSU_00450	53183	53368	186
ispE	BSU_00460	53516	54385	870
purR	BSU_00470	54441	55298	858
ridA	BSU_00480	55295	55672	378
spoVG	BSU_00490	55866	56159	294
glmU	BSU_00500	56352	57722	1371
prs	BSU_00510	57745	58698	954
ctc	BSU_00520	58783	59397	615
pth	BSU_00530	59504	60070	567
fin	BSU_00540	60130	60360	231
mfd	BSU_00550	60430	63963	3534
spoVT	BSU_00560	64099	64635	537
yabM	BSU_00570	64817	66415	1599
yabN	BSU_00580	66405	67874	1470
hslR	BSU_00590	67877	68137	261
spcP	BSU_00600	68216	68518	303
spcQ	BSU_00610	68515	69150	636
divIC	BSU_00620	69168	69545	378
yabR	BSU_00630	69626	70012	387
spoIIE	BSU_00640	70538	73021	2484
yabS	BSU_00650	73106	73843	738
prkT	BSU_00660	73809	74825	1017
tilS	BSU_00670	74929	76347	1419
hprT	BSU_00680	76344	76886	543
ftsH	BSU_00690	76984	78897	1914
coaX	BSU_00700	79092	79868	777
hslO	BSU_00710	79880	80755	876
yacD	BSU_00720	80802	81695	894
cysK	BSU_00730	81771	82697	927
pabB	BSU_00740	82864	84276	1413
pabA	BSU_00750	84290	84874	585
pabC	BSU_00760	84874	85755	882
folP	BSU_00770	85737	86594	858
folB	BSU_00780	86587	86949	363
folK	BSU_00790	86946	87449	504
yazB	BSU_00800	87401	87610	210
dusB	BSU_00810	87634	88635	1002
