"locus_tag","cds_gene","length_bp","clones","positions","n_variants"
"BSU_02040","ybdN",858,"3,47,59","224,360",1
"BSU_08400","yfiU",1557,"67","915,149",1
"BSU_08520","recX",795,"4","925,845 + 925,897",2
"BSU_13220","thiW",1644,"64","1,389,205",1
"BSU_14570","ykyA",672,"48","1,527,425",1
"BSU_15120","bshC",1620,"22","1,579,232",1
"BSU_16120","topA",2076,"14","1,685,519",1
"BSU_17210","pksN",16467,"1,39","1,841,668",1
"BSU_20330","yorM",717,"33","2,175,478",1
"BSU_22920","ypeB",1353,"21,54,85,88","2,398,950",1
"BSU_24610","sinR",336,"15","2,552,985",1
"BSU_24610","sinR",336,"16,28,41,93","2,552,873",1
"BSU_24610","sinR",336,"17,21,54,85,92,95","2,552,905",1
"BSU_24610","sinR",336,"18,19,31,36,37,53,72,84","2,552,884",1
"BSU_24610","sinR",336,"34","2,552,881",1
"BSU_25570","comEC",2331,"36,72","2,638,228",1
"BSU_28490","uvrC",1773,"62","2,912,024",1
"BSU_28540","fadB",777,"12","2,917,349",1
"BSU_30920","cotI",1074,"79","3,163,106",1
"BSU_32010","besA",870,"94","3,292,935",1
"BSU_32180","yutK",1215,"40,75,79,94","3,307,629",1
"BSU_33990","yvbU",879,"94","3,488,662",1
"BSU_34440","pbpE",1356,"94","3,534,794",1
"BSU_34900","hisB",585,"86","3,586,037",1
"BSU_38220","slrC",672,"13","3,922,748",1
"BSU_38220","slrC",672,"38,4","3,922,952",1
